id;typ_id;kennung;name
4e8f30a4-2acc-4940-8ceb-956d0f9a8b39;f477b69a-06d7-4819-9039-54fab9f6d9f4;2B.01;Baugrubenherstellung
a37f21e0-dd74-4dc3-93d0-55d40bf61e6b;f477b69a-06d7-4819-9039-54fab9f6d9f4;2B.02;Baugrubenumschließung
7a1234ec-96a4-42fe-8a2f-d0a48b70cfee;f477b69a-06d7-4819-9039-54fab9f6d9f4;2B.03;Wasserhaltung
d1ceb842-af40-4b92-84af-310bd6d1a8f0;4837927c-72e9-402a-9755-aa4762c9491d;2C.01;Baugrundverbesserungen
c2b55da5-c0c0-41af-a0af-39eb23c81f48;4837927c-72e9-402a-9755-aa4762c9491d;2C.02;Tiefengründungen
ba18c2ee-750c-4d2e-bc88-124f9a930e65;4837927c-72e9-402a-9755-aa4762c9491d;2C.03;Flachgründungen
2e74f1c4-614e-4a34-827a-923a4abd8ce8;4837927c-72e9-402a-9755-aa4762c9491d;2C.04;Bodenkonstruktionen
b5bf6b93-5626-4b58-83a0-7978cedff710;4837927c-72e9-402a-9755-aa4762c9491d;2C.05;Bauwerksabdichtungen
5a75600f-2bc1-4ee1-8cbd-18b3ce98d825;b69c2487-5a03-40af-8d0e-62556ef89a00;2D.01;Deckenkonstruktionen
ce9c111d-e676-4849-a1c7-aaa1daf4756c;b69c2487-5a03-40af-8d0e-62556ef89a00;2D.02;Treppenkonstruktionen
7e8dc262-5912-42e2-ada9-7b8fd7ad87a9;b69c2487-5a03-40af-8d0e-62556ef89a00;2D.03;Dachkonstruktionen
73ab1ac3-8040-4c2b-ab48-1da9efa5c046;b69c2487-5a03-40af-8d0e-62556ef89a00;2D.04;Spezielle Konstruktionen
1c5574cf-a27e-49a7-bebb-e3c3c4d64323;a4c5c1c7-48d9-4dfa-bb21-049e63c22c2f;2E.01;Außenwandkonstruktionen
5590e037-da2e-4ea3-b070-188bc6ca142e;a4c5c1c7-48d9-4dfa-bb21-049e63c22c2f;2E.02;Innenwandkonstruktionen
2ec2ea00-262d-4883-863c-436cd671fa2c;a4c5c1c7-48d9-4dfa-bb21-049e63c22c2f;2E.03;Stützenkonstruktionen
a7770c23-11df-43d9-aea5-98db8bd81fec;a4c5c1c7-48d9-4dfa-bb21-049e63c22c2f;2E.04;Spezielle Konstruktionen
3a9817b9-4ff7-402c-8e9b-76867823986a;c67674d4-52c4-45ff-9da8-01cbbcef2aef;2F.01;Spezielle Baukonstruktionen
8b04aff9-e288-4434-814c-02d7027de59f;bc0ba9da-48d7-4237-86b6-c15583ed6f3f;2G.01;Entsorgungsleitungen
2f52c568-6a33-4eb2-ba46-6b8afc7aba1e;bc0ba9da-48d7-4237-86b6-c15583ed6f3f;2G.02;Versorgungsleitungen
21dee7e9-0dc4-4512-98b8-d857a45ab501;bc0ba9da-48d7-4237-86b6-c15583ed6f3f;2G.03;Rauch- und Abgasfänge
10eb1904-6cca-4c4e-8669-e3b9f0fde92c;23dfea2c-7159-4b9b-acc8-2d741c932069;3A.01;Besondere Baustelleneinrichtung
7a4db3c5-8b2e-4f1e-8553-5bdecd062e91;23dfea2c-7159-4b9b-acc8-2d741c932069;3A.02;Allgemeine Sicherungsmaßnahmen
f27c38e4-35ff-4a5c-b6b5-1f1ebf390ddf;23dfea2c-7159-4b9b-acc8-2d741c932069;3A.03;Sonstiges zu Bauwerk-Technik
e850210a-efb9-4bbc-ae8f-a20e51ab7642;078f6306-5a63-4979-92a7-72cd476b838b;3B.01;Aufzugsanlagen
cdfee5a2-6439-4b9e-aa7d-fd39d1b4aa27;078f6306-5a63-4979-92a7-72cd476b838b;3B.02;Fahrtreppen
ebf2e419-d09f-4932-91ae-ef68cb7d89c0;078f6306-5a63-4979-92a7-72cd476b838b;3B.03;Befahranlagen
b23b2daf-32e5-4748-be6e-488cfbacd821;078f6306-5a63-4979-92a7-72cd476b838b;3B.04;Transportanlagen
3e6a492c-69a2-4a1e-9ee8-4839e458767b;078f6306-5a63-4979-92a7-72cd476b838b;3B.05;Krananlagen
85c03d77-07b9-4f5f-ae17-5d6f7f952c09;79f76801-6cc2-4acb-b90e-a26fce29699b;3C.01;Wärmeerzeugungsanlagen
a5c4aaef-57a9-4def-ae99-834c69f905b2;79f76801-6cc2-4acb-b90e-a26fce29699b;3C.02;Wärmeverteilnetze
4c56558d-2f9b-4ef6-831e-63e8dea6bb79;79f76801-6cc2-4acb-b90e-a26fce29699b;3C.03;Raumheizflächen
df37c1ee-fb5c-4acc-bac5-08d95491592e;e155aca0-4019-420c-8bdd-cab35356f8b5;3D.01;Lüftungsanlagen
4932bf0e-dd58-4d8b-a527-ef0e14cbc241;e155aca0-4019-420c-8bdd-cab35356f8b5;3D.02;Teilklimaanlagen
cfc38a48-48c2-4e13-aa94-99c03fe2be5a;e155aca0-4019-420c-8bdd-cab35356f8b5;3D.03;Klimaanlagen
33e93813-d938-49d4-a16e-a6b28b41689f;e155aca0-4019-420c-8bdd-cab35356f8b5;3D.04;Kälteanlagen
114f8281-db05-4fed-bab1-94c788c189cc;e155aca0-4019-420c-8bdd-cab35356f8b5;3D.05;Prozesslufttechnische Anlagen
5c19a73c-21a5-4d18-bc3c-5f333d312002;79afbdb3-8809-4840-b84b-743d4f1e7c92;3E.01;Abwasseranlagen
da161b6c-9b64-4489-9218-e4555dc675b9;79afbdb3-8809-4840-b84b-743d4f1e7c92;3E.02;Wasseranlagen
3712ec41-ad5a-474d-a59c-ee85bfc7386c;79afbdb3-8809-4840-b84b-743d4f1e7c92;3E.03;Gasanlagen
66927d6f-670f-43d3-87c9-46f0545f3e48;79afbdb3-8809-4840-b84b-743d4f1e7c92;3E.04;Feuerlöschanlagen
74bc284f-b407-4ce9-8f30-98ca92350dd9;543eeb14-b544-4e2d-bee2-600df69a3517;3F.01;Hoch-/Mittelspannungsanlagen
6be2d9d5-c703-4b1d-8dd8-48fa83b4ffe2;543eeb14-b544-4e2d-bee2-600df69a3517;3F.02;Eigenstromversorgung
42a8d862-0c05-4d4a-9de5-7975b84873d0;543eeb14-b544-4e2d-bee2-600df69a3517;3F.03;Niederspannungsschaltanlagen
bf09991f-d602-4a81-89c3-782cdb9120e6;543eeb14-b544-4e2d-bee2-600df69a3517;3F.04;Niederspannungsinstallation
338041d5-d774-4708-a6fd-5d715f39e9aa;543eeb14-b544-4e2d-bee2-600df69a3517;3F.05;Beleuchtungsanlagen
0aad2b62-7097-467a-85da-adec23d91141;543eeb14-b544-4e2d-bee2-600df69a3517;3F.06;Blitzschutzanlagen
c87b1f37-fa85-45a8-8bc9-2f9309b561a5;368fd45a-62e4-422b-bcec-10c4046e0803;3G.01;Telekommunikationsanlagen
aaf1bbf2-86c8-41a0-9155-32489500f877;368fd45a-62e4-422b-bcec-10c4046e0803;3G.02;Such-/Signalanlagen
03407d43-ffd9-4e94-b551-0098f38c7069;368fd45a-62e4-422b-bcec-10c4046e0803;3G.03;Zeitdienstanlagen
6459d5fc-362c-48e9-a696-839eeda224a0;368fd45a-62e4-422b-bcec-10c4046e0803;3G.04;Elektroakustische Anlagen
ec7d58b3-e589-4614-aee3-334444e00cd0;368fd45a-62e4-422b-bcec-10c4046e0803;3G.05;Fernseh-/Antennenanlagen
512adc34-64c8-42ff-b39d-40ef756f6b46;368fd45a-62e4-422b-bcec-10c4046e0803;3G.06;Gefahrenmelde-/Alarmanlagen
44e9fd0b-68f9-4e25-a800-59b578d2a611;368fd45a-62e4-422b-bcec-10c4046e0803;3G.07;Übertragungsnetze
8ee745fd-eb1a-4e22-bde7-412e23dc7a2a;e824d098-aa70-4c92-8119-5ebcef52e33b;3H.01;Mess-, Steuer-, Regel- und Leitanlagen
5b349ab2-4872-43be-bd71-bfcf4ae7cf5b;726746ba-b2d4-4190-b1cd-1148c43826d9;3I.01;Maschinenanlagen
a45f30ae-d299-40e6-bdb7-31432bb4d113;726746ba-b2d4-4190-b1cd-1148c43826d9;3I.02;Mechatronische Anlagen
c1ad667f-13b6-4cad-951e-1a1e64fe38bd;a9934f5b-23a6-4604-ac89-4d1c622d36b8;4A.01;Besondere Baustelleneinrichtung
bc92fc9a-438b-4524-954f-ac2951d7b7f3;a9934f5b-23a6-4604-ac89-4d1c622d36b8;4A.02;Allgemeine Sicherungsmaßnahmen
432ff430-8af5-454c-abeb-ac8db0f8ebb7;a9934f5b-23a6-4604-ac89-4d1c622d36b8;4A.03;Sonstiges zu Bauwerk-Ausbau
a9d758c9-703b-4f7b-ac1f-2eb287d70954;bf219a80-9f2d-459b-ba59-0e1325ff54c1;4B.01;Dachbeläge
899df49f-72ac-4be9-8e8d-bce4e6abaf5c;bf219a80-9f2d-459b-ba59-0e1325ff54c1;4B.02;Dachfenster/-öffnungen
de88ee48-15f2-4c2b-b3b1-94087b61457c;bf219a80-9f2d-459b-ba59-0e1325ff54c1;4B.03;Balkon-/Terrassenbeläge
34d10304-8aba-4e30-b2c2-3470bcc65723;bf219a80-9f2d-459b-ba59-0e1325ff54c1;4B.04;Feste Einbauteile
93d01afb-c45b-4bf4-848b-02b549c1b98f;10bbc645-8a1b-44dc-a178-b8737059457a;4C.01;Fassadenverkleidungen
8e761032-856a-4c53-b0e5-bb0992a0e85d;10bbc645-8a1b-44dc-a178-b8737059457a;4C.02;Fassadenöffnungen
78c71a84-63d3-47ee-860c-2291972bd88d;10bbc645-8a1b-44dc-a178-b8737059457a;4C.03;Sonnenschutz
e78c379e-fd79-45dc-ac61-6fd22b22e641;10bbc645-8a1b-44dc-a178-b8737059457a;4C.04;Feste Einbauteile
3e56328f-793e-4cf7-abd1-947817df1c41;10bbc645-8a1b-44dc-a178-b8737059457a;4C.05;Außenhülle erdberührt
c91abd25-ca3b-47ae-a19d-f03bfa1936a4;d28ae8d1-f8c1-464e-893b-8d5d8e1b9c53;4D.01;Bodenbeläge
0659fe6c-01fa-4ef8-8973-233c74096a6f;d28ae8d1-f8c1-464e-893b-8d5d8e1b9c53;4D.02;Wandverkleidungen
7dce1a37-f3c3-460d-a4f0-dd942d24c94b;d28ae8d1-f8c1-464e-893b-8d5d8e1b9c53;4D.03;Deckenverkleidungen
dc5e420b-0b45-4ac1-a260-292ba1e34fc0;d28ae8d1-f8c1-464e-893b-8d5d8e1b9c53;4D.04;Innentüren, Innenfenster
bbaa66c6-30e4-429e-ae64-43d11a8b54fe;d28ae8d1-f8c1-464e-893b-8d5d8e1b9c53;4D.05;Innenwandelemente
971e05d2-efcd-4c6b-ad05-6e9ac4e2fe56;d28ae8d1-f8c1-464e-893b-8d5d8e1b9c53;4D.06;Feste Einbauteile
79ff1a79-f327-451b-b81c-d83ca7c9b924;d28ae8d1-f8c1-464e-893b-8d5d8e1b9c53;4D.07;Spezielle Innenausbauteile
b0cd9fb7-5c31-4912-9410-1d01c3f42aba;a04342a5-5955-41f6-9b09-3ad804495452;5A.01;Besondere Baustelleneinrichtung
d92afd0e-ef9f-4931-8a5c-6a9ea16ccf5c;a04342a5-5955-41f6-9b09-3ad804495452;5A.02;Allgemeine Sicherungsmaßnahmen
9940538e-6222-42cb-b367-8b5abad75a78;a04342a5-5955-41f6-9b09-3ad804495452;5A.03;Sonstiges zu Einrichtung
0f3f1bc4-25b4-43c0-94d0-c3b7bd49127f;7030e3eb-a804-40c6-8427-15d910df884d;5B.01;Küchentechnische Anlagen
b08c6fc3-7b28-4ce2-98c6-fe2d4e7587c2;7030e3eb-a804-40c6-8427-15d910df884d;5B.02;Wäscherei-/Reinigungsanlagen
ff715bd2-520a-4a2c-a507-6124f4165ee8;7030e3eb-a804-40c6-8427-15d910df884d;5B.03;Medienversorgungsanlagen
a17dca89-1653-4503-8e75-d66cea832086;7030e3eb-a804-40c6-8427-15d910df884d;5B.04;Medizintechnische Anlagen
964f7c99-fd19-4ccf-ab11-dc59833d25f8;7030e3eb-a804-40c6-8427-15d910df884d;5B.05;Labortechnische Anlagen
cbb5723c-1fc1-456d-a004-57ac48871478;7030e3eb-a804-40c6-8427-15d910df884d;5B.06;Badetechnische Anlagen
46ef4e96-46e4-4e45-bf58-8b0dfcb870fe;7030e3eb-a804-40c6-8427-15d910df884d;5B.07;Kälteanlagen
b87a2d8d-4996-4226-a952-7ef7616a22fa;7030e3eb-a804-40c6-8427-15d910df884d;5B.08;Entsorgungsanlagen
1ed8c398-e111-48c5-b3f9-68af0abe630e;7030e3eb-a804-40c6-8427-15d910df884d;5B.09;Automationssysteme
b4c249ff-4856-4dc2-98e8-ce7b7f495179;7030e3eb-a804-40c6-8427-15d910df884d;5B.10;Zentrale Einrichtungen
1143d921-f12c-4118-8a13-017b658928d0;7030e3eb-a804-40c6-8427-15d910df884d;5B.11;Allgemeine betriebliche Einrichtungen
a82322fe-bf35-45e3-bb16-c44644dcf57c;7030e3eb-a804-40c6-8427-15d910df884d;5B.12;Besondere betriebliche Einrichtungen
0cd8bcfd-394a-4f7d-b7c2-d6c2ae28970d;54378b18-a7e9-41cd-9444-c11db596dc96;5C.01;Allgemeine Ausstattungen
1eff23f7-ff93-4452-a234-177a14284eef;54378b18-a7e9-41cd-9444-c11db596dc96;5C.02;Besondere Ausstattungen
235e38ce-b7b4-443b-b696-eb2c7e900c1a;54378b18-a7e9-41cd-9444-c11db596dc96;5C.03;Leitsysteme
997581b2-f84e-4dcc-8441-b5da8ed160f4;54378b18-a7e9-41cd-9444-c11db596dc96;5C.04;Kunstobjekte
2bed978d-f7ff-4de6-8746-fb8610fcee0b;5e8d6621-0447-4445-a899-5b288a0ae431;6A.01;Besondere Baustelleneinrichtung
ede4de75-9982-432b-8fca-ae1c6183d81f;5e8d6621-0447-4445-a899-5b288a0ae431;6A.02;Allgemeine Sicherungsmaßnahmen
0888a39c-3a8a-4938-a24c-968e8ed559ab;5e8d6621-0447-4445-a899-5b288a0ae431;6A.03;Sonstiges zu Außenanlagen
9a312aed-9ab9-4d6c-a058-87e4f6efdfee;72c852ed-7a98-49b6-95b3-659a1232fbe0;6B.01;Geländegestaltung
7fa71e42-2a14-4655-9312-b63b86a5df6d;72c852ed-7a98-49b6-95b3-659a1232fbe0;6B.02;Oberbodenbearbeitung
4c842819-692d-4180-a707-b88748515d22;72c852ed-7a98-49b6-95b3-659a1232fbe0;6B.03;Sicherungsbauweisen
693ac9b1-2dab-4ed7-a3c2-45c097fad87c;72c852ed-7a98-49b6-95b3-659a1232fbe0;6B.04;Pflanzen
cbf0cfd6-0516-4979-b40d-36466e645983;72c852ed-7a98-49b6-95b3-659a1232fbe0;6B.05;Begrünung Gelände
831f8efa-4829-4f5b-b862-9c05fb5d6140;72c852ed-7a98-49b6-95b3-659a1232fbe0;6B.06;Begrünung Bauteile
b7fdb969-d50f-427d-bf0a-65a5d96906b0;72c852ed-7a98-49b6-95b3-659a1232fbe0;6B.07;Wasserflächen
bed40135-6d61-45c8-abed-077dffe25ed5;1da11fda-dcf8-48de-8ce5-06e9718c4c86;6C.01;Gehwege
62bd4ea4-70c3-4b04-be20-4901abe08d46;1da11fda-dcf8-48de-8ce5-06e9718c4c86;6C.02;Fahrwege
f52983e7-1d0b-4065-ade9-fe18d4335403;1da11fda-dcf8-48de-8ce5-06e9718c4c86;6C.03;Plätze, Stellplätze, Höfe
e25b55c6-3079-448a-89f1-8f0466be1b6c;1da11fda-dcf8-48de-8ce5-06e9718c4c86;6C.04;Sport-/Spielplatzflächen
ffb14280-5b73-4978-b5cd-52eb4dfe6639;8f0509e5-1af5-4ac5-ad5d-8b9928220742;6D.01;Einfriedungen
bc876175-087f-4f23-a151-ddf720d3a719;8f0509e5-1af5-4ac5-ad5d-8b9928220742;6D.02;Ausstattungen
906e6634-8c16-485c-8f63-010bc428426a;8d9a45c9-028f-4b1e-8125-d8341cc2a771;7A.01;Sonstiges zu Planungsleistungen
72fc5c30-473b-4117-b8b0-f257cef0fb96;b2ecdb11-cac2-4302-a5b2-8d31c3c82922;7B.01;Projektleitung Bauherr
